,gps_e,gps_n,pf_e,pf_n,pf_theta,diff_e,diff_n,diff_sum,error
32,743109.4437714714,3398191.045239661,742655.555258025,3397709.5609962977,0.8478170409566561,206014.78263861575,231827.07660697735,437841.8592455931,661.6961986029488
33,743110.5733027739,3398192.2567766826,742875.0357306274,3398160.9073021584,1.8247082439245994,55477.947892672295,982.7895529401925,56460.73744561249,237.61468272312737
34,743111.6895719258,3398193.4556423286,742989.316074557,3398415.4138591876,2.2525304674507542,14975.272858263834,49265.45003123919,64240.72288950303,253.45753665950244
35,743112.7986180428,3398194.6501606046,742913.3947549013,3398458.38006274,2.1903776680907128,39761.90063577242,69553.46128024653,109315.36191601894,330.6287372809855
36,743113.9093466708,3398195.8462667465,742795.3531998339,3398122.2332148864,1.979264919938788,101478.01868760829,5418.881404161835,106896.90009177012,326.95091388734505
37,743114.9902358326,3398197.0303853694,742712.745758656,3397897.335639676,1.3920219971687975,161800.6194191483,89816.9405962052,251617.5600153535,501.614951945567
38,743116.0792537975,3398198.217270809,742979.6722366491,3398418.410086611,2.3957002657676347,18606.874327337282,48484.87613063488,67091.75045797217,259.0207529484311
39,743117.1457062489,3398199.397214728,742966.1351897056,3398458.860000384,2.10811197343471,22804.17610667144,67320.9371404224,90125.11324709383,300.20844965972196
40,743118.1996831088,3398200.5731314914,742908.775892382,3398675.621200687,0.9010831580543573,43858.324122387,225670.66804623595,269528.99216862296,519.1618169401742
41,743119.2530601914,3398201.747924218,742905.9956540733,3398676.031843544,0.8900994918619801,45478.721264217274,224945.23613125985,270423.9573954771,520.0230354469667
42,743120.2672434236,3398202.9118091254,742767.6684009217,3398121.4823753093,1.78995691983444,124325.94373366075,6630.752691612659,130956.6964252734,361.8793948614281
43,743121.2888804607,3398204.0846183854,742396.8781570897,3397457.8886306784,0.9695313349632709,524770.8961348456,556808.4520700312,1081579.3482048768,1039.9900712049498
44,743122.2784395933,3398205.2407921073,,,0.0,,,,
45,743123.2506330358,3398206.3900644407,,,0.0,,,,
46,743124.2198409133,3398207.544021625,,,0.0,,,,
47,743125.146601846,3398208.6809020108,,,0.0,,,,
48,743126.0766383694,3398209.8268963005,,,0.0,,,,
49,743126.9744081425,3398210.9626301844,,,0.0,,,,
50,743127.8566355052,3398212.0996654555,,,0.0,,,,
51,743128.7308384986,3398213.24212386,743076.2342481009,3398524.4572941135,2.3105771975802707,2755.8920033807312,96854.88219593608,99610.77419931682,315.6117459780558
52,743129.570384434,3398214.3714525322,743119.0224183954,3398571.8517643465,2.367483421396563,111.25958755093993,127792.17333479907,127903.43292235001,357.6358943427659
53,743130.4064042736,3398215.5066676997,743061.6198995358,3398429.123432322,1.6478109198205022,4731.58323404338,45632.12212768835,50363.70536173173,224.41859406415443
54,743131.2141340052,3398216.6393574006,742956.5097617722,3398477.557259844,1.012224527254573,30521.617677331054,68078.15181554604,98599.7694928771,314.00600231982366
55,743132.0015748825,3398217.773990073,742893.308778811,3398620.9255558983,0.9690333898173863,56974.250896442936,162531.1850276062,219505.43592404915,468.5140722796372
56,743132.7763988789,3398218.915775709,742871.4329491997,3398437.517207851,0.9980772080386723,68300.39869022628,47786.58613467053,116086.98482489682,340.71540150820425
57,743133.51599257,3398220.052011949,743006.0723924947,3398662.8809317425,1.5169861815211763,16241.871200157953,196097.4522054596,212339.32340561753,460.80291167224357
58,743134.2473128838,3398221.1977722635,743428.724506373,3398961.2649829993,2.9232197293835926,86716.81748527873,547699.4764061978,634416.2938914765,796.5025385342325
